,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
259,19,11,January,0.1338071831289743,0.0,0.2324,Peak,460.8550244518063
260,20,11,January,0.062206160293161374,0.0,0.2324,Peak,463.3159804385549
261,21,11,January,0.05714029780234716,0.0,0.2324,Peak,458.23000473260765
262,22,11,January,0.042246958317781434,0.0,0.2324,Peak,450.19088184256185
263,23,11,January,0.03831960211714891,0.0,0.2187,Off-Peak,427.22195929957405
264,0,12,January,0.03140711255390888,0.0,0.2187,Off-Peak,396.54204133144026
265,1,12,January,0.029676443839619437,0.0,0.2187,Off-Peak,363.40116737655785
266,2,12,January,0.0275150069886824,0.0,0.2187,Off-Peak,345.35415680706734
267,3,12,January,0.0285831647607099,0.0,0.2187,Off-Peak,331.5728032812746
268,4,12,January,0.030592729677722887,0.0,0.2187,Off-Peak,327.143082505127
269,5,12,January,0.03196692434668967,0.0,0.2187,Off-Peak,327.79933743492666
270,6,12,January,0.06150458999751107,0.0,0.2324,Peak,334.5259504653731
271,7,12,January,0.06963395075757868,0.0,0.2324,Peak,366.02618709575637
272,8,12,January,0.08401257080178766,0.0,0.2324,Peak,380.62785928379867
273,9,12,January,0.06157515815046485,0.008972029643714345,0.2324,Peak,382.10443287584786
274,10,12,January,0.05388875960391487,0.008246744229103601,0.2324,Peak,376.69032970500086
275,11,12,January,0.05729040773114771,0.044331632273966685,0.2324,Peak,375.5418835778514
276,12,12,January,0.09519362164614864,0.005289926030060055,0.2324,Peak,377.18252090235046
277,13,12,January,0.06330153077650061,0.0027196410395231344,0.2324,Peak,372.424672661303
278,14,12,January,0.04717805781272267,0.0016901551615626372,0.2324,Peak,377.18252090235046
279,15,12,January,0.04665115114468093,0.0041160809251245215,0.2324,Peak,388.0107272440448
280,16,12,January,0.049568998758513325,0.0,0.2324,Peak,403.9249092916864
281,17,12,January,0.05860024189329854,0.0,0.2324,Peak,425.9094494399748
282,18,12,January,0.0989450387060374,0.0,0.2324,Peak,448.2221170531629
283,19,12,January,0.13369025436143878,0.0,0.2324,Peak,460.8550244518063
284,20,12,January,0.06292191643071081,0.0,0.2324,Peak,463.3159804385549
285,21,12,January,0.06318457920593848,0.0,0.2324,Peak,458.23000473260765
286,22,12,January,0.042997466937975376,0.0,0.2324,Peak,450.19088184256185
287,23,12,January,0.03564104904257822,0.0,0.2187,Off-Peak,427.22195929957405
288,0,13,January,0.03685842166392222,0.0,0.2187,Off-Peak,396.54204133144026
289,1,13,January,0.034399113749967326,0.0,0.2187,Off-Peak,363.40116737655785
290,2,13,January,0.03302357745314828,0.0,0.2187,Off-Peak,345.35415680706734
291,3,13,January,0.03399223861940981,0.0,0.2187,Off-Peak,331.5728032812746
292,4,13,January,0.03500915822054941,0.0,0.2187,Off-Peak,327.143082505127
293,5,13,January,0.037603374029640084,0.0,0.2187,Off-Peak,327.79933743492666
294,6,13,January,0.07350469522595357,0.0,0.2324,Peak,334.5259504653731
295,7,13,January,0.05482490381230865,0.0,0.2324,Peak,366.02618709575637
296,8,13,January,0.07406585753428979,0.0,0.2324,Peak,380.62785928379867
297,9,13,January,0.0431587379018416,0.0376181463194046,0.2324,Peak,382.10443287584786
298,10,13,January,0.03380482698589984,0.005881347213779174,0.2324,Peak,376.69032970500086
299,11,13,January,0.031912606921039935,0.024560390240174312,0.2324,Peak,375.5418835778514
300,12,13,January,0.060269236862333424,0.008113968510009706,0.2324,Peak,377.18252090235046
301,13,13,January,0.03488873444346625,0.04040762750773795,0.2324,Peak,372.424672661303
302,14,13,January,0.03057072035267269,0.023651451561877417,0.2324,Peak,377.18252090235046
303,15,13,January,0.03029495065885793,0.0030019610306123053,0.2324,Peak,388.0107272440448
304,16,13,January,0.03038745760759297,0.0,0.2324,Peak,403.9249092916864
305,17,13,January,0.03842918247577122,0.0,0.2324,Peak,425.9094494399748
306,18,13,January,0.07215873732111651,0.0,0.2324,Peak,448.2221170531629
307,19,13,January,0.10754849676395302,0.0,0.2324,Peak,460.8550244518063
308,20,13,January,0.0576411929026733,0.0,0.2324,Peak,463.3159804385549
309,21,13,January,0.04784696234559188,0.0,0.2324,Peak,458.23000473260765
310,22,13,January,0.04053978383543742,0.0,0.2324,Peak,450.19088184256185
311,23,13,January,0.036722705817193335,0.0,0.2187,Off-Peak,427.22195929957405
312,0,14,January,0.03205513375780862,0.0,0.2187,Off-Peak,396.54204133144026
313,1,14,January,0.02878775917666431,0.0,0.2187,Off-Peak,363.40116737655785
314,2,14,January,0.03019084250346324,0.0,0.2187,Off-Peak,345.35415680706734
315,3,14,January,0.030206487140280718,0.0,0.2187,Off-Peak,331.5728032812746
316,4,14,January,0.02943946334980005,0.0,0.2187,Off-Peak,327.143082505127
317,5,14,January,0.03349481177500719,0.0,0.2187,Off-Peak,327.79933743492666
318,6,14,January,0.07528421184837944,0.0,0.2324,Peak,334.5259504653731
319,7,14,January,0.07943297740589758,0.0,0.2324,Peak,366.02618709575637
320,8,14,January,0.10096798612025623,0.0,0.2324,Peak,380.62785928379867
321,9,14,January,0.08241318124641908,0.06917017614622545,0.2324,Peak,382.10443287584786
322,10,14,January,0.08033837056279551,0.0432496061217271,0.2324,Peak,376.69032970500086
